    10     0.00001400     0.00001300     0.00003300
    10     0.00001600     0.00001200     0.00004400
    10     0.00004300     0.00001200     0.00000600
    15     0.00011200     0.00001900     0.00003300
    15     0.00003500     0.00001700     0.00002400
    15     0.00005500     0.00007600     0.00002800
    20     0.00003500     0.00005600     0.00001600
    20     0.00003800     0.00009000     0.00000400
    20     0.00003900     0.00009600     0.00000600
    10     0.00001400     0.00001300     0.00016600
    10     0.00005500     0.00000700     0.00002800
    10     0.00000700     0.00000700     0.00000400
    15     0.00010900     0.00001900     0.00001600
    15     0.00003800     0.00003200     0.00000500
    15     0.00001800     0.00005800     0.00000400
    20     0.00008900     0.00006100     0.00003000
    20     0.00007200     0.00007300     0.00002400
    20     0.00011500     0.00007600     0.00001000
    10     0.00001700     0.00001300     0.00003400
    10     0.00001100     0.00001700     0.00001600
    10     0.00001700     0.00001200     0.00001500
    15     0.00008800     0.00003500     0.00002800
    15     0.00005600     0.00005500     0.00005300
    15     0.00009100     0.00005600     0.00005300
    20     0.00007400     0.00012300     0.00002800
    20     0.00012200     0.00018600     0.00000900
    20     0.00008300     0.00008300     0.00000900
    10     0.00001200     0.00001700     0.00006500
    10     0.00001200     0.00001900     0.00001300
    10     0.00005500     0.00009000     0.00000700
    15     0.00010600     0.00008900     0.00017700
    15     0.00007900     0.00012300     0.00001300
    15     0.00004800     0.00007800     0.00001200
    20     0.00015000     0.00016200     0.00007400
    20     0.00018100     0.00008900     0.00000900
    20     0.00015500     0.00012700     0.00001500
    10     0.00001300     0.00001300     0.00003500
    10     0.00001700     0.00005600     0.00001500
    10     0.00001100     0.00005500     0.00000800
    15     0.00003400     0.00005100     0.00001800
    15     0.00004800     0.00004100     0.00001100
    15     0.00008600     0.00003300     0.00001300
    20     0.00011400     0.00011400     0.00002900
    20     0.00010500     0.00007300     0.00001000
    20     0.00007200     0.00007300     0.00000800
    10     0.00001800     0.00001700     0.00002500
    10     0.00001700     0.00002000     0.00001500
    10     0.00001700     0.00001600     0.00005200
    15     0.00004700     0.00004900     0.00002600
    15     0.00004700     0.00004700     0.00004500
    15     0.00003200     0.00003600     0.00000800
    20     0.00009000     0.00007500     0.00002100
    20     0.00008600     0.00014200     0.00005700
    20     0.00009200     0.00008700     0.00001000
    10     0.00004700     0.00001300     0.00002700
    10     0.00004600     0.00001200     0.00001300
    10     0.00000800     0.00001100     0.00002700
    15     0.00002500     0.00002600     0.00002000
    15     0.00002500     0.00004700     0.00000500
    15     0.00001700     0.00002700     0.00000800
    20     0.00005500     0.00004000     0.00000800
    20     0.00003900     0.00004000     0.00000400
    20     0.00004000     0.00004000     0.00000800
    10     0.00001000     0.00001100     0.00002000
    10     0.00001000     0.00000900     0.00000800
    10     0.00000900     0.00002900     0.00000400
    15     0.00003200     0.00004600     0.00001900
    15     0.00004300     0.00003000     0.00000700
    15     0.00004000     0.00003900     0.00000500
    20     0.00008600     0.00007000     0.00002100
    20     0.00011200     0.00007100     0.00000700
    20     0.00007100     0.00007000     0.00000600
    10     0.00001000     0.00001600     0.00002800
    10     0.00000900     0.00001000     0.00000600
    10     0.00000800     0.00001500     0.00000500
    15     0.00003600     0.00004000     0.00001700
    15     0.00003200     0.00004500     0.00000600
    15     0.00004800     0.00005300     0.00000800
    20     0.00009900     0.00012400     0.00002000
    20     0.00007800     0.00007100     0.00000600
    20     0.00008600     0.00010100     0.00000700
    10     0.00001100     0.00001700     0.00003400
    10     0.00001000     0.00001300     0.00001000
    10     0.00001400     0.00001500     0.00000700
    15     0.00004600     0.00003200     0.00002100
    15     0.00003600     0.00004600     0.00000800
    15     0.00004400     0.00003200     0.00000500
    20     0.00009600     0.00008200     0.00002400
    20     0.00009400     0.00007100     0.00000700
    20     0.00009000     0.00010800     0.00000900
    10     0.00001000     0.00001000     0.00006900
    10     0.00000700     0.00000600     0.00000700
    10     0.00000600     0.00000600     0.00000100
    15     0.00003300     0.00001900     0.00000700
    15     0.00001800     0.00001900     0.00000200
    15     0.00001800     0.00001900     0.00000200
    20     0.00004400     0.00004400     0.00000700
    20     0.00004400     0.00004400     0.00000300
    20     0.00004400     0.00004300     0.00000300
    10     0.00001000     0.00001100     0.00002100
    10     0.00000900     0.00001400     0.00001000
    10     0.00000900     0.00001500     0.00000600
    15     0.00004100     0.00004600     0.00001300
    15     0.00003000     0.00003300     0.00000700
    15     0.00003000     0.00003100     0.00000600
    20     0.00008600     0.00007100     0.00002000
    20     0.00011200     0.00009700     0.00001000
    20     0.00009800     0.00009800     0.00000800
    10     0.00001000     0.00001000     0.00002300
    10     0.00000900     0.00001300     0.00001100
    10     0.00001400     0.00001000     0.00000400
    15     0.00003100     0.00005200     0.00002100
    15     0.00004900     0.00005300     0.00000900
    15     0.00005200     0.00005100     0.00000800
    20     0.00012100     0.00012500     0.00002200
    20     0.00012800     0.00012400     0.00001100
    20     0.00012000     0.00012400     0.00000900
    10     0.00003800     0.00001000     0.00002100
    10     0.00001500     0.00001300     0.00001400
    10     0.00000900     0.00000800     0.00000400
    15     0.00009400     0.00005400     0.00004200
    15     0.00006300     0.00006800     0.00000600
    15     0.00002100     0.00002100     0.00000600
    20     0.00006300     0.00005500     0.00001300
    20     0.00007400     0.00005100     0.00002500
    20     0.00005000     0.00004600     0.00000600
    10     0.00001200     0.00001300     0.00002400
    10     0.00001200     0.00001500     0.00000900
    10     0.00001100     0.00001000     0.00000600
    15     0.00004800     0.00005000     0.00005400
    15     0.00003200     0.00003300     0.00000700
    15     0.00008300     0.00007000     0.00000900
    20     0.00007400     0.00007200     0.00002300
    20     0.00010600     0.00006000     0.00000600
    20     0.00008600     0.00005900     0.00001100
